author_id,name,votes
639,Lee Strobel,14
640,Richard Abanes,8
641,Thomas C. Brezina,1
642,Hank Hanegraaff,9
643,Bart D. Ehrman,20
644,Marcia Muller,50
651,Jan Adkins,6
654,Anne Mather,52
656,James Lowell,1
657,Frank Gallinelli,1
659,Thomas J. Stanley,5
663,Mike Mason,3
668,Margot Mifflin,1
669,Antonio Negri,1
676,Donald J. Trump,6
677,George H. Ross,1
678,Gary W. Eldred,4
682,Joanne Mattern,6
683,Bernie S. Siegel,4
686,Robert Irwin,12
688,George S. Clason,8
691,Trevanian,14
692,Mercer Mayer,105
695,Simon Schama,17
698,National Geographic Society,18
701,Barbara Brenner,5
702,Robert Morgan,9
704,Pearl S. Buck,31
705,Georgia Heard,3
709,Margaret Craven,3
711,Rick Warren,13
713,Lisa See,15
721,John Grisham,92
722,Robert A. Caro,8
726,Annie Cheney,1
727,Frances Stonor Saunders,6
731,Bill Phillips,3
734,Ray C. Stedman,9
736,Andrew Beaujon,1
739,Robert G. Hagstrom,3
740,James Altucher,1
741,Janet Lowe,2
742,Warren Buffett,1
745,James O'Loughlin,1
749,Mark Tier,1
756,Warren Buffett,1
758,David Clark,2
759,Robert Heller,2
761,John Train,3
762,Roger Lowenstein,5
765,Wallace Edwards,4
766,Marvin Olasky,5
767,Christopher Wormell,18
768,John R. Erickson,8
769,Barbara Park,12
771,Sarah Mlynowski,15
772,Nicholas von Hoffman,2
776,Michael Lewis,15
777,John Archer,1
782,Victor C. Pellegrino,1
783,Valentina Harris,1
786,Viana La Place,3
792,Giada De Laurentiis,2
795,Tyler Florence,2
796,Sandra Lee,1
798,Steven D. Levitt,1
807,Clinton T. Greenleaf III,1
809,Doug Feldmann,1
810,Robert Sabatier,1
811,Yann Martel,11
814,Michael C. Thomsett,4
815,Carlos Ruiz Zafón,18
816,Robert Templer,1
817,Anne Hébert,3
819,Marlo Schalesky,1
822,James Frey,7
823,Python Bonkers,1
825,Michele McKnight Baker,1
826,John McPherson,3
828,The Arbinger Institute,5
829,Daniel Goleman,12
830,Peter G. Northouse,1
831,Max DePree,6
832,Donald T. Phillips,3
836,Wayne Barrett,1
847,Wil Mara,6
848,John Gray,25
849,Walter R. Brooks,4
858,Louis L'Amour,172
861,Jean M. Auel,21
863,Jeff Pearlman,5
865,Robert Greene,4
867,Steven Pressfield,23
868,Tracy Hickman,4
869,Margaret Weis,20
870,Holly Lisle,21
871,Brent Walth,1
872,Martin Bell,1
873,Thomas Harlan,5
877,Stephen J. Rosen,1
879,Plato,19
882,Seth Benardete,2
883,G.R.F. Ferrari,1
884,Graeme Nicholson,1
885,Josef Pieper,9
890,Ronna Burger,2
893,Michael Allen,1
898,Bruce McComiskey,1
903,Homer,3
908,Alessandro Baricco,12
912,Stanley P. Baldwin,1
915,Mark Hertsgaard,4
919,Virgil,5
925,David Baker,3
927,Ed Roberson,1
940,Paul Brett Johnson,6
947,William Shakespeare,166
949,Daniel Singer,2
952,Laurence Olivier,1
954,Carla Lynn Stockton,1
956,Giorgio de Santillana,1
958,Perez Zagorin,1
965,Peter Handke,9
968,Marshall Sahlins,6
970,Joint Association of Classical Teachers' Greek Course,1
973,Euripides,13
978,Wole Soyinka,19
979,James Morwood,1
982,Richard Seaford,1
984,Sophie Mills,1
986,William Allan,1
990,Aeschylus,9
993,Herbert Weir Smyth,1
996,Ted Hughes,25
997,David R. Slavitt,1
998,Simon Goldhill,6
1000,William Matthews,2
1002,Sophocles,7
